dispatch_time,order_id,baseline_assigned_courier_id,baseline_cost,baseline_courier_rank_by_cost,is_assigned_by_baseline,actual_assigned_courier_id,is_match_with_actual,num_orders_in_batch,num_couriers_in_pool,order_pickup_lat,order_pickup_lng
1665977114,522093,4694,1763.8939877441614,2,True,611,False,658,802,45862054,174581041
1665977114,259146,2554,307.09281984442424,5,True,75,False,658,802,45895789,174555609
1665977114,64002,2980,779.1001219355571,2,True,3927,False,658,802,45863030,174564980
1665977114,85993,387,303.71368095625854,6,True,624,False,658,802,45880173,174546649
1665977114,215713,3647,130.60245020672468,1,True,2132,False,658,802,45859352,174579486
1665977114,3214,47,1218.4424483741527,3,True,965,False,658,802,45886802,174544898
1665977114,395445,1620,2224.3965473808844,5,True,84,False,658,802,45867766,174566793
1665977114,321260,2181,604.4145928086118,1,True,2921,False,658,802,45919951,174516559
1665977114,293224,3026,1854.1418500211896,4,True,991,False,658,802,45905899,174526998
1665977114,12964,180,10007.589120262683,43,True,93,False,658,802,45902660,174556330
1665977114,432901,2463,2506.4726210353865,4,True,981,False,658,802,45867403,174569758
1665977114,307304,114,2410.089002505924,6,True,330,False,658,802,45911894,174529244
1665977114,140944,1689,8762.33587578107,23,True,2452,False,658,802,45892888,174567981
1665977114,134860,4347,240.3018934590404,1,True,93,False,658,802,45895728,174555530
1665977114,329449,535,1454.4706941014658,1,True,3474,False,658,802,45830427,174573700
1665977114,147009,3774,1245.4834402753013,2,True,1700,False,658,802,45820232,174523174
1665977114,250552,2636,9923.467992592106,32,True,28,False,658,802,45882550,174555124
1665977114,25815,249,480.227029643272,3,True,3021,False,658,802,45897008,174553031
1665977114,558419,4775,5939.846799371176,38,True,168,False,658,802,45894980,174554750
1665977114,180222,1215,4734.827979979843,8,True,1301,False,658,802,45892700,174568290
1665977114,365592,4154,3492.6701819668,3,True,2054,False,658,802,45853197,174599400
1665977114,3218,1744,2922.0412385864784,1,True,2054,False,658,802,45852942,174591757
1665977114,183218,3237,2911.934065187603,1,True,1703,False,658,802,45853197,174599400
1665977114,230204,2184,3145.7789178516664,1,True,857,False,658,802,45851787,174617479
1665977114,110597,1385,1241.8264774113975,1,True,1703,False,658,802,45855591,174605363
1665977114,128718,93,63.97655820689325,1,True,2836,False,658,802,45895612,174555734
1665977114,76554,2431,23936.263054202926,176,True,1040,False,658,802,45898371,174553499
1665977114,113670,1719,5069.79220481471,19,True,3750,False,658,802,45865723,174573423
1665977114,304465,3342,440.1136216933077,1,True,1941,False,658,802,45821950,174527737
1665977114,206680,2100,1557.5573825705428,1,True,1346,False,658,802,45856330,174579593
1665977114,540428,922,212.22865028077618,1,True,596,False,658,802,45863303,174559942
