dispatch_time,order_id,baseline_assigned_courier_id,baseline_cost,baseline_courier_rank_by_cost,is_assigned_by_baseline,was_accepted,actual_assigned_courier_id,is_match_with_actual,num_orders_in_batch,num_couriers_in_pool,order_pickup_lat,order_pickup_lng,baseline_courier_lat,baseline_courier_lng,actual_courier_lat,actual_courier_lng,platform_order_time,wait_for_assignment_seconds,cost_function,mode,strategy_key,bundling_on,micro_batch_sec,unit_type,bundle_size
1665977114,522093,4429,1574.8260221370485,1,True,True,611,False,658,802,45862054,174581041,45860768,174581950,0,0,1665976830,284,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,64002,1455,748.9432555274132,1,True,True,1620,False,658,802,45863030,174564980,45862676,174564320,0,0,1665976843,271,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,85993,3198,88.09086218218096,1,True,True,905,False,658,802,45880173,174546649,45880229,174546581,0,0,1665976876,238,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,215713,3647,130.60245020672468,1,True,True,2038,False,658,802,45859352,174579486,45859393,174579610,0,0,1665976707,407,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,3214,1773,179.38784797192923,1,True,True,1061,False,658,802,45886802,174544898,45886636,174544830,0,0,1665976132,982,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,395445,553,117.5967686630887,1,True,True,84,False,658,802,45867766,174566793,45867668,174566858,0,0,1665977032,82,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,293224,4030,817.2056044839634,1,True,True,81,False,658,802,45905899,174526998,45905839,174527813,0,0,1665976681,433,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,432901,3165,1406.9783225053611,1,True,True,981,False,658,802,45867403,174569758,45868515,174570620,0,0,1665976614,500,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,307304,58,268.57587382339466,1,True,True,330,False,658,802,45911894,174529244,45912071,174529446,0,0,1665977085,29,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,134860,93,276.70381276737044,1,True,True,407,False,658,802,45895728,174555530,45895639,174555792,0,0,1665976889,225,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,329449,535,1454.4706941014658,1,True,True,3474,False,658,802,45830427,174573700,45831881,174573737,0,0,1665976896,218,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,147009,2738,696.8299649125316,1,True,True,1700,False,658,802,45820232,174523174,45819536,174523140,0,0,1665977049,65,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,250552,162,2426.538687101444,1,True,True,4891,False,658,802,45882550,174555124,45883361,174552837,0,0,1665975963,1151,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,25815,4130,75.8023746329889,1,True,True,4019,False,658,802,45897008,174553031,45897019,174552956,0,0,1665976161,953,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,558419,3360,438.7710108929258,1,True,True,168,False,658,802,45894980,174554750,45894954,174555188,0,0,1665976783,331,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,365592,3237,2911.934065187603,1,True,True,2054,False,658,802,45853197,174599400,45853765,174596544,0,0,1665976916,198,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,3218,1744,2922.0412385864784,1,True,True,2054,False,658,802,45852942,174591757,45850652,174589942,0,0,1665977017,97,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,183218,1169,3287.672276854857,1,True,True,1703,False,658,802,45853197,174599400,45850339,174601025,0,0,1665976966,148,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,230204,2184,3145.7789178516664,1,True,True,857,False,658,802,45851787,174617479,45849313,174619422,0,0,1665976961,153,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,110597,1385,1241.8264774113975,1,True,True,1703,False,658,802,45855591,174605363,45854413,174604970,0,0,1665976868,246,distance_to_pickup,BATCH,greedy,0,0,order,1
1665977114,128718,1400,359.3466293149276,1,True,True,3233,False,658,802,45895612,174555734,45895939,174555883,0,0,1665976877,237,distance_to_pickup,BATCH,greedy,0,0,order,1
