dispatch_time,order_id,baseline_assigned_courier_id,baseline_cost,baseline_courier_rank_by_cost,is_assigned_by_baseline,was_accepted,actual_assigned_courier_id,is_match_with_actual,num_orders_in_batch,num_couriers_in_pool,order_pickup_lat,order_pickup_lng,baseline_courier_lat,baseline_courier_lng,actual_courier_lat,actual_courier_lng,platform_order_time,wait_for_assignment_seconds,cost_function
1665977114,522093,4694,1763.8939877441614,,True,True,611,False,658,802,45862054,174581041,45862155,174582802,45863294,174583806,1665976830,284,distance_to_pickup
1665977114,259146,4694,43251.64973732216,,True,False,2836,False,658,802,45895789,174555609,45862155,174582802,45902982,174557403,1665976964,150,distance_to_pickup
1665977114,64002,4694,17843.466843637758,,True,True,920,False,658,802,45863030,174564980,45862155,174582802,45858712,174569618,1665976843,271,distance_to_pickup
1665977114,85993,4694,40394.15468851898,,True,True,905,False,658,802,45880173,174546649,45862155,174582802,,,1665976876,238,distance_to_pickup
1665977114,215713,4694,4341.965568725758,,True,True,2411,False,658,802,45859352,174579486,45862155,174582802,45857813,174577090,1665976707,407,distance_to_pickup
1665977114,3214,4694,45212.6953963154,,True,True,1061,False,658,802,45886802,174544898,45862155,174582802,45884398,174544181,1665976132,982,distance_to_pickup
1665977114,395445,4694,16963.82627828993,,True,True,84,False,658,802,45867766,174566793,45862155,174582802,45878885,174580158,1665977032,82,distance_to_pickup
1665977114,321260,4694,87911.95973813802,,True,False,2921,False,658,802,45919951,174516559,45862155,174582802,45912182,174526716,1665976748,366,distance_to_pickup
1665977114,293224,4694,70905.73990869851,,True,True,2895,False,658,802,45905899,174526998,45862155,174582802,45905856,174529180,1665976681,433,distance_to_pickup
1665977114,12964,4694,48388.24039991535,,True,False,339,False,658,802,45902660,174556330,45862155,174582802,45902903,174556628,1665976986,128,distance_to_pickup
1665977114,432901,4694,14060.13655694709,,True,True,981,False,658,802,45867403,174569758,45862155,174582802,45869944,174570490,1665976614,500,distance_to_pickup
1665977114,307304,4694,73091.91121457968,,True,True,330,False,658,802,45911894,174529244,45862155,174582802,45916957,174525909,1665977085,29,distance_to_pickup
1665977114,140944,4694,34120.0722449411,,True,False,3840,False,658,802,45892888,174567981,45862155,174582802,45897138,174571579,1665977072,42,distance_to_pickup
1665977114,134860,4694,43253.99765339615,,True,True,407,False,658,802,45895728,174555530,45862155,174582802,45895221,174552928,1665976889,225,distance_to_pickup
1665977114,329449,4694,33007.76254155982,,True,True,3474,False,658,802,45830427,174573700,45862155,174582802,45839230,174574624,1665976896,218,distance_to_pickup
1665977114,147009,4694,72890.5776695452,,True,True,1700,False,658,802,45820232,174523174,45862155,174582802,45816168,174526935,1665977049,65,distance_to_pickup
1665977114,250552,4694,34380.629851705744,,True,True,4891,False,658,802,45882550,174555124,45862155,174582802,,,1665975963,1151,distance_to_pickup
1665977114,25815,4694,45837.14705345436,,True,True,339,False,658,802,45897008,174553031,45862155,174582802,45902903,174556628,1665976161,953,distance_to_pickup
1665977114,558419,4694,43178.64436269393,,True,True,168,False,658,802,45894980,174554750,45862155,174582802,45894773,174555569,1665976783,331,distance_to_pickup
1665977114,180222,4694,33817.08398132518,,True,False,1105,False,658,802,45892700,174568290,45862155,174582802,45878185,174591137,1665976817,297,distance_to_pickup
1665977114,365592,4694,18861.054265337345,,True,True,2054,False,658,802,45853197,174599400,45862155,174582802,45849765,174589604,1665976916,198,distance_to_pickup
1665977114,3218,4694,12848.01128579828,,True,True,2054,False,658,802,45852942,174591757,45862155,174582802,45849765,174589604,1665977017,97,distance_to_pickup
1665977114,183218,4694,18861.054265337345,,True,True,1703,False,658,802,45853197,174599400,45862155,174582802,45856325,174605947,1665976966,148,distance_to_pickup
1665977114,230204,4694,36193.780584514796,,True,True,857,False,658,802,45851787,174617479,45862155,174582802,45857982,174606367,1665976961,153,distance_to_pickup
1665977114,110597,4694,23496.485205238678,,True,True,1703,False,658,802,45855591,174605363,45862155,174582802,45856325,174605947,1665976868,246,distance_to_pickup
1665977114,128718,4694,43035.42114351851,,True,True,3233,False,658,802,45895612,174555734,45862155,174582802,45867697,174574195,1665976877,237,distance_to_pickup
1665977114,76554,4694,46586.09733600787,,True,False,1040,False,658,802,45898371,174553499,45862155,174582802,45898255,174553439,1665976833,281,distance_to_pickup
