dispatch_time,order_id,baseline_assigned_courier_id,baseline_cost,baseline_courier_rank_by_cost,is_assigned_by_baseline,was_accepted,actual_assigned_courier_id,is_match_with_actual,num_orders_in_batch,num_couriers_in_pool,order_pickup_lat,order_pickup_lng,baseline_courier_lat,baseline_courier_lng,actual_courier_lat,actual_courier_lng,platform_order_time,wait_for_assignment_seconds,cost_function,mode,strategy_key,bundling_on,micro_batch_sec,unit_type,bundle_size
1665977114,89113,3552,20.0,1,True,True,483,False,658,802,45880013,174634613,45880013,174634633,0,0,1665976122,992,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,162151,309,25.317977802344327,1,True,True,1105,False,658,802,45892908,174566908,45892883,174566912,0,0,1665976864,250,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,516911,184,27.730849247724095,1,True,True,2485,False,658,802,46062288,174947094,46062263,174947106,0,0,1665977094,20,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,273389,93,32.202484376209235,1,True,True,925,False,658,802,45895620,174555818,45895639,174555792,0,0,1665976805,309,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,480559,372,35.0,1,True,True,538,False,658,802,45879921,174546626,45879900,174546598,0,0,1665976504,610,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,427561,1111,38.2099463490856,1,True,True,2850,False,658,802,45912621,174588027,45912649,174588053,0,0,1665977079,35,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,408974,963,39.408120990476064,1,True,True,2733,False,658,802,45858344,174577760,45858376,174577783,0,0,1665977053,61,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,270517,2040,44.40720662234904,1,True,True,2040,True,658,802,45890444,174572525,45890488,174572519,0,0,1665976537,577,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,522089,1027,46.95742752749558,1,True,True,2730,False,658,802,45879771,174546630,45879750,174546588,0,0,1665976612,502,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,247681,2311,53.23532661682466,1,True,True,2332,False,658,802,45896070,174555813,45896017,174555818,0,0,1665976572,542,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,110606,2518,53.33854141237835,1,True,True,1102,False,658,802,45892958,174566355,45892952,174566408,0,0,1665977085,29,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,16104,1558,58.463663928973865,1,True,True,697,False,658,802,45879648,174648076,45879635,174648019,0,0,1665976702,412,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,28940,559,59.841457201508724,1,True,True,4319,False,658,802,45864620,174583120,45864679,174583130,0,0,1665977066,48,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,81,1089,63.00793600809346,1,True,True,2968,False,658,802,45898320,174550193,45898371,174550156,0,0,1665976529,585,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,6485,2903,67.89698078707183,1,True,True,875,False,658,802,45860664,174572467,45860597,174572478,0,0,1665976986,128,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
1665977114,456867,88,69.40461079784254,1,True,True,2788,False,658,802,45866359,174536720,45866400,174536664,0,0,1665976934,180,distance_to_pickup,BATCH,batch_greedy,0,0,order,1
